協力者,調査地,母語,年齢,性別,J-CAT (合計),JLPT
KKD47,韓国語,韓国語,19.0,男性,231,N2
JJN63,国内自然習得,韓国語,43.0,女性,230,N2
KKR07,韓国語,韓国語,21.0,女性,174,N3
KKD55,韓国語,韓国語,22.0,女性,229,N2
KKR57,韓国語,韓国語,24.0,女性,176,N3
KKD34,韓国語,韓国語,26.0,男性,177,N3
KKD18,韓国語,韓国語,28.0,女性,226,N2
KKD38,韓国語,韓国語,26.0,女性,226,N2
KKR09,韓国語,韓国語,24.0,男性,225,N2
KKD06,韓国語,韓国語,23.0,女性,178,N3
KKR37,韓国語,韓国語,24.0,男性,223,N2
KKD14,韓国語,韓国語,26.0,男性,221,N2
KKD43,韓国語,韓国語,23.0,女性,221,N2
KKR19,韓国語,韓国語,25.0,男性,221,N2
KKR55,韓国語,韓国語,21.0,男性,220,N2
KKD26,韓国語,韓国語,20.0,男性,183,N3
KKD45,韓国語,韓国語,23.0,男性,185,N3
KKR01,韓国語,韓国語,22.0,女性,215,N2
JJN49,国内自然習得,タガログ語,54.0,女性,55,N5
JJN06,国内自然習得,タガログ語,42.0,女性,127,N4
JJN53,国内自然習得,タガログ語,31.0,女性,245,N2
JJN44,国内自然習得,スペイン語,54.0,男性,58,N5
SES09,スペイン語,スペイン語,21.0,女性,59,N5
SES40,スペイン語,スペイン語,22.0,女性,66,N5
SES07,スペイン語,スペイン語,21.0,女性,74,N5
SES56,スペイン語,スペイン語,22.0,男性,82,N5
SES58,スペイン語,スペイン語,33.0,男性,85,N5
SES08,スペイン語,スペイン語,20.0,男性,101,N4
SES54,スペイン語,スペイン語,24.0,男性,102,N4
SES47,スペイン語,スペイン語,21.0,男性,103,N4
SES12,スペイン語,スペイン語,27.0,女性,104,N4
SES03,スペイン語,スペイン語,24.0,女性,110,N4
SES22,スペイン語,スペイン語,24.0,女性,114,N4
SES37,スペイン語,スペイン語,24.0,男性,117,N4
SES19,スペイン語,スペイン語,24.0,男性,122,N4
SES15,スペイン語,スペイン語,27.0,男性,123,N4
SES18,スペイン語,スペイン語,27.0,男性,125,N4
SES17,スペイン語,スペイン語,21.0,女性,127,N4
SES45,スペイン語,スペイン語,22.0,女性,130,N4
SES26,スペイン語,スペイン語,26.0,男性,131,N4
SES48,スペイン語,スペイン語,25.0,女性,132,N4
SES52,スペイン語,スペイン語,31.0,女性,133,N4
SES43,スペイン語,スペイン語,25.0,女性,135,N4
SES55,スペイン語,スペイン語,28.0,男性,136,N4
SES01,スペイン語,スペイン語,23.0,女性,137,N4
SES21,スペイン語,スペイン語,24.0,男性,138,N4
SES33,スペイン語,スペイン語,22.0,女性,141,N4
JJN11,国内自然習得,スペイン語,31.0,男性,142,N4
SES11,スペイン語,スペイン語,35.0,男性,148,N4
SES39,スペイン語,スペイン語,33.0,女性,149,N4
SES49,スペイン語,スペイン語,30.0,女性,149,N4
JJN47,国内自然習得,スペイン語,58.0,女性,150,N3
SES20,スペイン語,スペイン語,26.0,女性,150,N3
SES38,スペイン語,スペイン語,25.0,男性,151,N3
SES24,スペイン語,スペイン語,41.0,女性,153,N3
SES34,スペイン語,スペイン語,23.0,男性,153,N3
SES14,スペイン語,スペイン語,31.0,男性,154,N3
SES02,スペイン語,スペイン語,24.0,女性,157,N3
SES05,スペイン語,スペイン語,21.0,女性,163,N3
SES42,スペイン語,スペイン語,21.0,女性,164,N3
JJC18,国内教室環境,スペイン語,33.0,男性,167,N3
SES53,スペイン語,スペイン語,26.0,男性,236,N2
SES35,スペイン語,スペイン語,26.0,女性,169,N3
SES32,スペイン語,スペイン語,23.0,女性,172,N3
SES50,スペイン語,スペイン語,25.0,女性,172,N3
SES23,スペイン語,スペイン語,46.0,男性,178,N3
JJN18,国内自然習得,スペイン語,42.0,女性,179,N3
SES30,スペイン語,スペイン語,29.0,男性,179,N3
SES06,スペイン語,スペイン語,21.0,女性,182,N3
SES41,スペイン語,スペイン語,26.0,女性,182,N3
SES36,スペイン語,スペイン語,28.0,女性,184,N3
SES28,スペイン語,スペイン語,25.0,女性,217,N2
SES16,スペイン語,スペイン語,22.0,女性,186,N3
JJN04,国内自然習得,スペイン語,26.0,男性,214,N2
SES25,スペイン語,スペイン語,21.0,男性,212,N2
JJC29,国内教室環境,スペイン語,43.0,女性,211,N2
SES04,スペイン語,スペイン語,21.0,女性,206,N2
SES27,スペイン語,スペイン語,25.0,男性,196,N3
CCS39,中国語(台湾),中国語（台湾）,21.0,女性,347,N1
CCS40,中国語(台湾),中国語（台湾）,21.0,女性,338,N1
CCS55,中国語(台湾),中国語（台湾）,21.0,女性,336,N1
CCS24,中国語(台湾),中国語（台湾）,21.0,男性,332,N1
CCT24,中国語(台湾),中国語（台湾）,22.0,女性,321,N1
CCS32,中国語(台湾),中国語（台湾）,21.0,女性,320,N1
CCT37,中国語(台湾),中国語（台湾）,21.0,女性,314,N1
CCT14,中国語(台湾),中国語（台湾）,21.0,女性,313,N1
CCS09,中国語(台湾),中国語（台湾）,21.0,男性,310,N1
CCT10,中国語(台湾),中国語（台湾）,21.0,女性,307,N1
CCS50,中国語(台湾),中国語（台湾）,21.0,女性,304,N1
CCS04,中国語(台湾),中国語（台湾）,21.0,女性,300,N1
CCS45,中国語(台湾),中国語（台湾）,21.0,女性,298,N1
CCT23,中国語(台湾),中国語（台湾）,21.0,女性,297,N1
CCT18,中国語(台湾),中国語（台湾）,19.0,男性,295,N1
JJC48,国内教室環境,中国語（台湾）,27.0,男性,295,N1
CCS52,中国語(台湾),中国語（台湾）,21.0,女性,294,N1
CCS53,中国語(台湾),中国語（台湾）,22.0,男性,293,N1
CCT31,中国語(台湾),中国語（台湾）,21.0,女性,292,N1
CCS51,中国語(台湾),中国語（台湾）,21.0,女性,291,N1
CCS08,中国語(台湾),中国語（台湾）,22.0,女性,287,N1
CCT38,中国語(台湾),中国語（台湾）,22.0,男性,286,N1
CCT44,中国語(台湾),中国語（台湾）,21.0,女性,286,N1
CCT46,中国語(台湾),中国語（台湾）,21.0,男性,281,N1
JJC45,国内教室環境,中国語（台湾）,25.0,男性,280,N1
CCT07,中国語(台湾),中国語（台湾）,20.0,男性,279,N1
CCS12,中国語(台湾),中国語（台湾）,21.0,女性,278,N1
CCT59,中国語(台湾),中国語（台湾）,23.0,女性,278,N1
CCS02,中国語(台湾),中国語（台湾）,21.0,女性,277,N1
CCS33,中国語(台湾),中国語（台湾）,22.0,女性,276,N1
CCT13,中国語(台湾),中国語（台湾）,21.0,女性,276,N1
CCS01,中国語(台湾),中国語（台湾）,21.0,女性,265,N1
CCS20,中国語(台湾),中国語（台湾）,21.0,女性,275,N1
CCS03,中国語(台湾),中国語（台湾）,21.0,女性,243,N2
CCS57,中国語(台湾),中国語（台湾）,22.0,女性,275,N1
CCS07,中国語(台湾),中国語（台湾）,21.0,女性,274,N1
CCS10,中国語(台湾),中国語（台湾）,21.0,女性,240,N2
CCS13,中国語(台湾),中国語（台湾）,22.0,女性,257,N1
CCS14,中国語(台湾),中国語（台湾）,21.0,女性,221,N2
CCS49,中国語(台湾),中国語（台湾）,22.0,女性,272,N1
CCS16,中国語(台湾),中国語（台湾）,21.0,女性,260,N1
CCS17,中国語(台湾),中国語（台湾）,21.0,男性,257,N1
JJC38,国内教室環境,中国語（台湾）,25.0,男性,272,N1
CCS18,中国語(台湾),中国語（台湾）,21.0,女性,205,N2
CCS21,中国語(台湾),中国語（台湾）,21.0,女性,174,N3
CCT15,中国語(台湾),中国語（台湾）,20.0,女性,271,N1
CCS23,中国語(台湾),中国語（台湾）,22.0,女性,190,N3
CCT54,中国語(台湾),中国語（台湾）,20.0,女性,271,N1
CCS25,中国語(台湾),中国語（台湾）,22.0,男性,270,N1
JJC31,国内教室環境,中国語（台湾）,21.0,女性,269,N1
CCS26,中国語(台湾),中国語（台湾）,21.0,男性,250,N1
CCS29,中国語(台湾),中国語（台湾）,21.0,女性,262,N1
CCS30,中国語(台湾),中国語（台湾）,21.0,女性,254,N1
CCS31,中国語(台湾),中国語（台湾）,21.0,女性,235,N2
CCS35,中国語(台湾),中国語（台湾）,22.0,女性,266,N1
CCS36,中国語(台湾),中国語（台湾）,21.0,女性,228,N2
CCS37,中国語(台湾),中国語（台湾）,21.0,女性,223,N2
CCS38,中国語(台湾),中国語（台湾）,22.0,女性,217,N2
CCS41,中国語(台湾),中国語（台湾）,21.0,女性,179,N3
CCS42,中国語(台湾),中国語（台湾）,21.0,女性,250,N1
CCS43,中国語(台湾),中国語（台湾）,21.0,女性,177,N3
CCS44,中国語(台湾),中国語（台湾）,21.0,女性,230,N2
CCS58,中国語(台湾),中国語（台湾）,21.0,男性,265,N1
CCS46,中国語(台湾),中国語（台湾）,21.0,女性,254,N1
CCT35,中国語(台湾),中国語（台湾）,19.0,女性,265,N1
CCS47,中国語(台湾),中国語（台湾）,23.0,女性,234,N2
CCS48,中国語(台湾),中国語（台湾）,21.0,女性,224,N2
CCS54,中国語(台湾),中国語（台湾）,21.0,男性,246,N2
CCS56,中国語(台湾),中国語（台湾）,21.0,女性,254,N1
CCT39,中国語(台湾),中国語（台湾）,19.0,女性,261,N1
CCT41,中国語(台湾),中国語（台湾）,19.0,女性,261,N1
CCS60,中国語(台湾),中国語（台湾）,22.0,女性,212,N2
CCT02,中国語(台湾),中国語（台湾）,19.0,女性,239,N2
CCT04,中国語(台湾),中国語（台湾）,19.0,女性,253,N1
CCT05,中国語(台湾),中国語（台湾）,20.0,女性,218,N2
CCT48,中国語(台湾),中国語（台湾）,23.0,女性,260,N1
CCT08,中国語(台湾),中国語（台湾）,21.0,女性,188,N3
JJC35,国内教室環境,中国語（台湾）,25.0,女性,260,N1
CCT11,中国語(台湾),中国語（台湾）,22.0,女性,249,N2
CCT16,中国語(台湾),中国語（台湾）,20.0,女性,254,N1
CCT17,中国語(台湾),中国語（台湾）,22.0,女性,246,N2
CCT19,中国語(台湾),中国語（台湾）,21.0,女性,258,N1
CCT20,中国語(台湾),中国語（台湾）,21.0,女性,214,N2
CCT22,中国語(台湾),中国語（台湾）,21.0,女性,213,N2
CCT51,中国語(台湾),中国語（台湾）,22.0,女性,258,N1
CCT25,中国語(台湾),中国語（台湾）,20.0,女性,193,N3
CCT26,中国語(台湾),中国語（台湾）,20.0,女性,246,N2
CCT27,中国語(台湾),中国語（台湾）,20.0,女性,255,N1
CCT28,中国語(台湾),中国語（台湾）,21.0,女性,216,N2
CCT29,中国語(台湾),中国語（台湾）,20.0,男性,239,N2
CCT33,中国語(台湾),中国語（台湾）,20.0,女性,218,N2
CCT34,中国語(台湾),中国語（台湾）,20.0,女性,210,N2
CCT53,中国語(台湾),中国語（台湾）,22.0,女性,257,N1
CCT40,中国語(台湾),中国語（台湾）,19.0,女性,229,N2
CCT43,中国語(台湾),中国語（台湾）,21.0,女性,232,N2
CCT45,中国語(台湾),中国語（台湾）,19.0,女性,228,N2
CCT49,中国語(台湾),中国語（台湾）,23.0,女性,191,N3
CCT50,中国語(台湾),中国語（台湾）,21.0,女性,249,N2
CCT52,中国語(台湾),中国語（台湾）,21.0,女性,237,N2
CCT55,中国語(台湾),中国語（台湾）,20.0,女性,219,N2
CCT56,中国語(台湾),中国語（台湾）,21.0,女性,247,N2
CCT57,中国語(台湾),中国語（台湾）,21.0,女性,191,N3
CCT58,中国語(台湾),中国語（台湾）,20.0,女性,234,N2
CCT60,中国語(台湾),中国語（台湾）,21.0,女性,249,N2
CCT61,中国語(台湾),中国語（台湾）,22.0,女性,209,N2
JJN26,国内自然習得,中国語（台湾）,33.0,女性,242,N2
JJC36,国内教室環境,中国語（台湾）,35.0,女性,235,N2
JJC34,国内教室環境,中国語（台湾）,28.0,女性,206,N2
EUS38,英語(D有),英語,18.0,女性,61,N5
